,uid,time_to_play,active_time,high_level,predictions,days_to_churn,warning
4,050esJCBNDTmqKbEP0FI4tfkAvy1,13.11,7233.0,33.0,True,4 days 22:20:26.702202,"this player play time is only 1.31% of average, churn level is 382.35"
6,05GnK8d6I0exUmnBedxqPH3cFWl1,0.0,5756.71,0.0,True,6 days 22:27:04.702202,player does not play!
8,07UGnChzGpSaiGMBnO9ri7AXBwa2,0.0,5773.280000000001,0.0,True,6 days 21:19:47.702202,player does not play!
12,08mutzZWOAPcfmORmfAV58YUIR02,0.0,8268.13,0.0,True,6 days 03:49:20.702202,player does not play!
25,0N54tIy2rbccB3eQAugSaSvk9xN2,0.0,9941.09,0.0,True,7 days 20:07:53.702202,player does not play!
30,0PV1ZDzA4tbsAssdQLbOciWaV6J2,0.0,6432.41,0.0,True,4 days 21:25:36.702202,player does not play!
31,0QJ8jiVjlLXCIDL53KGF2yJj6iW2,13.24,4143.68,11.0,True,4 days 18:47:39.702202,"this player play time is only 2.31% of average, churn level is 1001.38"
41,0X05rIDhnqZcl5uneQo2ntobvoq2,2.07,6931.6900000000005,4.0,True,4 days 15:23:36.703197,"this player play time is only 0.22% of average, skill is 24.7760807567098% of average, churn level is 14581.84"
70,0rgPzUuXMwcPPzkCDRgeVYNfUjw2,0.0,4480.370000000001,0.0,True,7 days 23:57:35.703197,player does not play!
71,0sZx6Ka6MpMUvwmllBZuVKlo9B02,5.2,5984.82,6.0,True,5 days 10:32:44.703197,"this player play time is only 0.63% of average, skill is 51.45912757550212% of average, churn level is 16504.15"
73,0u5kOl5L7gVmdqOD7md7mH2D3Pp2,42.23,8789.61,35.0,True,4 days 23:11:56.703197,"this player play time is only 3.47% of average, churn level is 657.21"
75,0wGrubnBETawePmFGdcnuLhq7WE3,13.46,520.76,983.0,True,6 days 05:31:22.703197,"this player play time is only 18.69% of average, churn level is 14.04"
80,11QPHV1tXoU6YKJ9XGQ39yEaYxu1,9.19,2924.9700000000003,190.0,True,5 days 06:15:12.703197,"this player play time is only 2.27% of average, churn level is 156.18"
86,14wdHXSjiVMBgbI8ieFaEeVECpW2,0.0,8312.310000000001,0.0,True,5 days 21:56:15.703197,player does not play!
95,1D04LhQmz1N9RdA00ac1Hy2igG82,0.0,10034.960000000001,0.0,True,7 days 05:59:18.703197,player does not play!
99,1E44XzZA3lSsJDAahM4GL77fQg73,0.0,8167.7,0.0,True,5 days 00:05:17.703197,player does not play!
113,1QqRthlDygZntMZ3ECWGVjxia2k2,0.0,4694.12,0.0,True,6 days 00:58:59.704194,player does not play!
125,1W1ETg97kcM5UB4fk9B71Wod7gn2,0.0,6146.38,0.0,True,6 days 01:24:25.704194,player does not play!
126,1WXy16f3unOdDiZb8GI0cjFUsYc2,0.0,4474.8,0.0,True,5 days 22:48:39.704194,player does not play!
138,1dcoqYVvBFW1DFgnYbp0NqFN3je2,1.26,4769.44,2.0,True,4 days 22:12:11.704194,"this player play time is only 0.19% of average, skill is 36.26958445192947% of average, churn level is 72723.47"
141,1fqIqT5yqUgaQ8lyUoRJ6VWvoxg1,0.0,9041.570000000002,0.0,True,4 days 16:50:15.704194,player does not play!
154,1mYGFbxobHQ5AEMm4ve4b8604Xy2,0.0,7962.49,0.0,True,5 days 18:22:04.704194,player does not play!
174,1wvM5FM8PmWWfnDe9t4hZ2LPbhQ2,0.0,5964.08,0.0,True,7 days 02:13:54.704194,player does not play!
184,22Ofdl6Y8UR8EOhruxhelv2q2Up2,0.0,6125.19,0.0,True,4 days 19:18:44.705192,player does not play!
192,25cJcjZ04khIoRM0h3wOkY2b5Zg1,16.56,5289.04,125.0,True,8 days 10:27:37.705192,"this player play time is only 2.26% of average, churn level is 448.77"
209,2Hqt0jHJtzOMkz2J4SStAnrzNh12,0.0,8389.88,0.0,True,5 days 09:37:52.705192,player does not play!
217,2PyyksLtURQdxVaaOkVyoipKVKg1,6.72,5667.78,1387.0,True,6 days 17:36:40.705192,"this player play time is only 0.86% of average, skill is 56.45900086852238% of average, churn level is 5875.27"
219,2R5PPNVRrjMsl4tbfl8rqSivUE73,5.51,5944.07,9.0,True,7 days 18:06:33.705192,"this player play time is only 0.67% of average, skill is 48.32061718369465% of average, churn level is 490.93"
222,2SsJk1iLZyeQ2t2aSUExZycfWw42,0.0,7496.75,0.0,True,4 days 23:40:27.705192,player does not play!
240,2gMy6A3OzdO9uMIFQJ6RYb0DXgC3,0.0,10041.74,0.0,True,7 days 06:28:59.705192,player does not play!
259,2uzXW0K3slQGu4TUDC0nzgXfVVq2,0.0,4529.740000000001,0.0,True,8 days 07:26:10.706189,player does not play!
272,34fpKPupGLdfjTkTn92JT0s8kuI2,21.06,7214.49,34.0,True,4 days 21:06:56.706189,"this player play time is only 2.11% of average, churn level is 86.98"
276,35lDPYRVNTMng0hGLp6QUJaQ4XP2,0.0,9993.35,0.0,True,8 days 03:58:26.706189,player does not play!
287,3CF5g8eWGtgcHmS2Jlsp50eW2pX2,0.0,4834.0599999999995,0.0,True,8 days 08:51:03.706189,player does not play!
288,3DPOOy8yhoerAKvC5m9M3zR9Evh1,9.93,50.2,365.0,True,5 days 19:55:22.706189,this player churn level is 9.82
291,3F8OIMfhiJRI9LN8VlYLrxsRIKx2,2.4,7430.610000000001,18.0,True,7 days 13:55:51.706189,"this player play time is only 0.23% of average, churn level is 5163.31"
292,3FAVvj8cAWYR4Ab66xTaUgznzv32,6.61,5154.71,40.0,True,4 days 20:13:23.706189,"this player play time is only 0.93% of average, churn level is 488.95"
296,3Ij7qIa5MdNeylokk4r5ajxGuEw1,4.25,4.89,3185.0,True,6 days 21:36:09.706189,this player churn level is 0.74
302,3N6L0F3fxAfEhT4zLzUwBwfdtzG2,12.62,7172.990000000001,33.0,True,4 days 21:51:41.706189,"this player play time is only 1.27% of average, churn level is 438.94"
321,3eVIFM6ZGOQkHhZJkS1CjkQiFIy2,0.0,4309.65,0.0,True,5 days 15:20:36.706189,player does not play!
326,3h5Hx8OaQiarEIXfgXeIeOIa1Nt2,0.0,7325.48,0.0,True,5 days 04:07:54.707186,player does not play!
328,3jQBNDwEBPULSkKPlz7msfBawwE3,0.0,9209.48,0.0,True,7 days 23:43:06.707186,player does not play!
330,3kANZxFwFJgb2EJnJ3EfD37DbKH3,0.0,5240.14,0.0,True,7 days 21:08:26.707186,player does not play!
