uid,high_level,total_level,time2play,ballpopped,balldrop,Noshot,totalwin,totalfirstwin,powerballuse,Nosession,lengthsession,intervalsession,playcount,isChurn
zga4eMwnVyPkIHOr2flJkqJyCtT2,245.0,490.0,17.21,2023.0,262.0,437.0,7.0,7.0,25.0,234.0,44.26,88.1,3093.0,False
vwQ6wJ8aYjhPWtdsYYjHBs9Qto62,78.0,154.0,16.02,1478.0,261.0,254.0,6.0,6.0,3.0,120.0,60.55,1.43,557.0,False
DinQ5dMxG9NyMXeDuVysWbcxOpq1,25.0,48.0,23.8,3985.0,1140.0,424.0,22.0,22.0,5.0,5.0,14.35,5227.66,11.0,False
HItMrj2UCGausjpeFNs4uOgoGWf2,234.0,467.0,55.62,4225.0,721.0,844.0,25.0,25.0,24.0,60,53.29,0.14,323,False
US8hbp0DRNgXE2Fgonl1NYiFjzI2,30.0,57.0,18.59,1823.0,334.0,280.0,9.0,9.0,3.0,9.0,123.14,1.04,50.0,False
ou9JzcLrsDQV1yCCDVa9AhzaXSb2,33.0,65.0,9.76,1135.0,264.0,130.0,4.0,4.0,0.0,14,5.06,408.94,37,False
qBW1zjPRDfUZyIJFBTXWZLpgnBo2,3037.0,6073.0,10.75,1443.0,280.0,289.0,8.0,8.0,5.0,432,4.23,89.06,2496,False
mTdLP7bKFJfeB8fAOm3uIYhKdEn1,33377.0,66753.0,27.39,2932.0,438.0,623.0,14.0,14.0,0.0,1157.0,62.94,114.4,5698.0,False
T456Ei91DBRPQgs8XsFvaqpGc6t1,265.0,367.0,26.17,2902.0,510.0,516.0,17.0,0.0,0.0,80,9.94,26.37,952,False
w9jtIID9p7WAiMotBv71VEadLWy2,44.0,87.0,14.87,1951.0,434.0,282.0,9.0,9.0,6.0,15.0,44.46,213.09,116.0,False
pzmTQBcemFh8LlWQTxqnKRVnHvQ2,9163.0,18317.0,5.11,443.0,57.0,91.0,2.0,2.0,1.0,164,143.87,3.27,3399,False
IiQGJobhCwUqsZc9vtCbL7SaBaj1,157.0,312.0,3.46,601.0,127.0,100.0,2.0,2.0,0.0,45,1.71,92.96,256,False
N6GrGbfHZNME1U8PoJMduuc71Rz1,4150.0,8299.0,39.13,3021.0,568.0,562.0,16.0,16.0,7.0,335,49.16,372.08,4013,False
1t4AEpKiDkdenrd4pTHrkh0M6iH3,60.0,115.0,3.27,536.0,34.0,75.0,1.0,1.0,0.0,22,9.35,92.54,76,False
65tdYBM9kwelCxXxS6RSddYmS9B2,5687.0,11373.0,13.84,1900.0,440.0,352.0,11.0,11.0,14.0,403.0,50.85,1377.03,7141.0,False
XgcQRtFltQUDyP3WHos5NfnjO733,10663.0,21325.0,29.59,2624.0,494.0,508.0,15.0,15.0,6.0,324,2.56,0.31,2832,False
nXMjnScw8Pa27KodrL6Y9sidvbI3,1887.0,3772.0,5.46,345.0,71.0,80.0,2.0,2.0,5.0,1098.0,15.8,34.47,16063.0,False
y52CTsvZ9QZVptmnQKeTKmEsb7W2,16.0,31.0,4.22,594.0,65.0,100.0,3.0,3.0,1.0,11.0,42.36,563.34,29.0,False
DF4fTP56YGbRUE25z2JrqmVSfGd2,68.0,135.0,12.37,1712.0,314.0,274.0,7.0,7.0,0.0,8,18.74,66.82,128,False
5cdCkmHBkTZwVqi6BBIxDLxqg5f2,28.0,55.0,14.58,899.0,169.0,139.0,5.0,5.0,7.0,30.0,25.46,363.31,92.0,False
Kjl5GI9RwaQsv9yXiMBR82nWvLQ2,14,14,1.2,180.0,25.0,23,1.0,1.0,0,30.0,7.86,3.13,76.0,False
ODCZTJC1gDOTstQ7wqc6rB2fTUH3,25.0,49.0,3.92,360.0,32.0,60.0,2.0,2.0,0.0,3,18.07,1225.77,23,False
VDy8ZbYJ7pZnkW9mwBINPdYYBfl2,14,14,1.32,178.0,29.0,18,1.0,1.0,1,24.0,5.28,2953.3,44.0,False
DA3bDmne9XhjrisrCyZdOototqK2,3265.0,6529.0,29.99,2470.0,443.0,506.0,12.0,12.0,7.0,217.0,34.3,303.81,1390.0,False
