uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,version_name,time_get_info
hDDyNIif8DNjd1Qi3zuLz4vMr0s2,49,2.1666667461395264,"[46.0,0.0,43.0,44.0,27.0,0.0]","[6.0,0.0,3.0,3.0,6.0,0.0]",30,False,False,0,1.30.1,2022-09-16 23:11:28
YEM3ByA0kqdZgSdc3Eye9vBPjBL2,2,0.8500000238418579,"[11.0,16.0,22.0,0.0,18.0,12.0]","[6.0,11.0,8.0,0.0,10.0,12.0]",8,True,True,1,1.30.1,2022-09-16 23:11:28
67ZDyUMcGYRgAzzOnCg8CuYY9Ma2,3,0.3666666746139527,"[0.0,38.0,25.0,0.0,47.0,0.0]","[0.0,26.0,9.0,0.0,11.0,0.0]",8,True,True,1,1.30.1,2022-09-16 23:11:28
PerHaFawCrVglthYHMzaIgRRwgF3,14,1.3166667222976685,"[9.0,27.0,43.0,0.0,104.0,20.0]","[0.0,0.0,9.0,0.0,3.0,4.0]",45,False,False,0,1.30.1,2022-09-16 23:11:28
zC8S0Mo7cfVMf5idVrlLZJIzs0p2,35,3.0166666507720947,"[119.0,83.0,0.0,0.0,0.0,82.0]","[41.0,30.0,0.0,0.0,0.0,4.0]",48,False,False,7,1.30.1,2022-09-16 23:11:28
wawWmbZA58anmz0Vf12ECjjiWq12,8,3.049999952316284,"[23.0,28.0,49.0,61.0,0.0,31.0]","[10.0,0.0,7.0,10.0,0.0,10.0]",30,True,True,1,1.30.1,2022-09-16 23:11:28
YEM3ByA0kqdZgSdc3Eye9vBPjBL2,3,0.5333333611488342,"[0.0,37.0,24.0,0.0,47.0,0.0]","[0.0,29.0,13.0,0.0,6.0,0.0]",6,True,True,1,1.30.1,2022-09-16 23:11:28
67ZDyUMcGYRgAzzOnCg8CuYY9Ma2,4,0.25,"[64.0,0.0,0.0,0.0,88.0,0.0]","[30.0,0.0,0.0,0.0,12.0,0.0]",7,True,True,0,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,132,1.600000023841858,"[0.0,46.0,51.0,51.0,49.0,62.0]","[0.0,4.0,4.0,7.0,6.0,15.0]",48,True,True,0,1.30.1,2022-09-16 23:11:28
lLe3zsGRYVUQQfsumpQzVFetjl83,44,2.299999952316284,"[37.0,46.0,0.0,0.0,73.0,63.0]","[11.0,8.0,0.0,0.0,11.0,11.0]",28,True,True,0,1.30.1,2022-09-16 23:11:28
eD7jaYB30PdV6EI5vHEaUOyPuCq2,13,1.2166666984558103,"[30.0,0.0,29.0,89.0,39.0,0.0]","[18.0,0.0,9.0,14.0,7.0,0.0]",33,True,True,0,1.30.1,2022-09-16 23:11:28
R8ncL6pzJjhB3aAmguPZmwzm6r82,50736,0.7666666507720947,"[29.0,0.0,25.0,26.0,22.0,23.0]","[0.0,0.0,3.0,0.0,3.0,0.0]",28,True,True,0,1.30.1,2022-09-16 23:11:28
hDDyNIif8DNjd1Qi3zuLz4vMr0s2,49,1.5833333730697632,"[59.0,0.0,38.0,49.0,38.0,0.0]","[13.0,0.0,8.0,1.0,3.0,0.0]",29,True,True,0,1.30.1,2022-09-16 23:11:28
h544JxiIk3caFnxAYlBEZEMe2Dp1,29,1.7333333492279053,"[62.0,27.0,0.0,36.0,46.0,46.0]","[1.0,2.0,0.0,8.0,13.0,13.0]",34,True,True,0,1.30.1,2022-09-16 23:11:28
wawWmbZA58anmz0Vf12ECjjiWq12,9,1.1833332777023315,"[80.0,63.0,74.0,0.0,78.0,0.0]","[45.0,35.0,50.0,0.0,41.0,0.0]",19,True,True,0,1.30.1,2022-09-16 23:11:28
eD7jaYB30PdV6EI5vHEaUOyPuCq2,14,0.7166666388511658,"[2.0,27.0,44.0,0.0,90.0,19.0]","[0.0,1.0,9.0,0.0,3.0,4.0]",24,True,True,0,1.30.1,2022-09-16 23:11:28
hDDyNIif8DNjd1Qi3zuLz4vMr0s2,50,1.1666666269302368,"[29.0,61.0,49.0,38.0,0.0,35.0]","[6.0,1.0,8.0,7.0,0.0,17.0]",31,True,True,0,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,133,1.399999976158142,"[0.0,45.0,44.0,0.0,44.0,34.0]","[0.0,4.0,6.0,0.0,4.0,4.0]",36,False,False,0,1.30.1,2022-09-16 23:11:28
92V5HXKOrhVeOwxNqPJFWiM9uAq2,1271,0.9499999880790708,"[18.0,0.0,29.0,23.0,25.0,22.0]","[4.0,0.0,4.0,11.0,2.0,5.0]",27,True,True,0,1.30.1,2022-09-16 23:11:28
zC8S0Mo7cfVMf5idVrlLZJIzs0p2,35,3.933333396911621,"[120.0,89.0,0.0,0.0,0.0,81.0]","[48.0,24.0,0.0,0.0,0.0,23.0]",48,False,False,7,1.30.1,2022-09-16 23:11:28
eD7jaYB30PdV6EI5vHEaUOyPuCq2,15,1.4333332777023315,"[47.0,0.0,51.0,65.0,0.0,69.0]","[8.0,0.0,20.0,10.0,0.0,8.0]",36,True,True,1,1.30.1,2022-09-16 23:11:28
hDDyNIif8DNjd1Qi3zuLz4vMr0s2,51,1.2333333492279053,"[84.0,46.0,46.0,0.0,40.0,0.0]","[6.0,11.0,15.0,0.0,18.0,0.0]",33,True,True,0,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,133,1.5,"[0.0,40.0,45.0,0.0,45.0,41.0]","[0.0,12.0,4.0,0.0,4.0,7.0]",32,True,True,0,1.30.1,2022-09-16 23:11:28
92V5HXKOrhVeOwxNqPJFWiM9uAq2,1272,1.4833333492279053,"[28.0,44.0,41.0,0.0,42.0,32.0]","[8.0,2.0,6.0,0.0,11.0,11.0]",42,True,True,0,1.30.1,2022-09-16 23:11:28
lLe3zsGRYVUQQfsumpQzVFetjl83,45,3.1666667461395264,"[27.0,43.0,60.0,46.0,42.0,0.0]","[9.0,1.0,0.0,3.0,13.0,0.0]",44,True,True,0,1.30.1,2022-09-16 23:11:28
kc110Csd2FfSFWdij4pK5MPf0WX2,83,4.0333333015441895,"[63.0,58.0,48.0,63.0,45.0,0.0]","[5.0,16.0,2.0,11.0,14.0,0.0]",52,True,True,9,1.30.1,2022-09-16 23:11:28
zC8S0Mo7cfVMf5idVrlLZJIzs0p2,35,2.533333301544189,"[85.0,61.0,0.0,0.0,0.0,70.0]","[23.0,21.0,0.0,0.0,0.0,12.0]",48,False,False,3,1.30.1,2022-09-16 23:11:28
92V5HXKOrhVeOwxNqPJFWiM9uAq2,1273,1.6166666746139529,"[46.0,0.0,36.0,28.0,26.0,27.0]","[14.0,0.0,0.0,11.0,8.0,8.0]",40,True,True,0,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,134,1.350000023841858,"[32.0,31.0,39.0,45.0,61.0,54.0]","[0.0,5.0,1.0,10.0,2.0,0.0]",42,False,False,0,1.30.1,2022-09-16 23:11:28
BK10B7tM4Jhms2Ex2eZ25o1DXGy1,1,0.2333333343267441,"[41.0,0.0,44.0,0.0,0.0,0.0]","[0.0,0.0,4.0,0.0,0.0,0.0]",6,True,True,0,1.30.1,2022-09-16 23:11:28
92V5HXKOrhVeOwxNqPJFWiM9uAq2,1274,1.1666666269302368,"[37.0,0.0,30.0,32.0,31.0,29.0]","[4.0,0.0,13.0,17.0,16.0,19.0]",28,True,True,0,1.30.1,2022-09-16 23:11:28
BFZnxq6FPQVeLDg2ExBLQ3FafYM2,11,1.5666667222976685,"[0.0,0.0,54.0,60.0,29.0,46.0]","[0.0,0.0,3.0,15.0,0.0,16.0]",24,True,True,0,1.30.1,2022-09-16 23:11:28
lLe3zsGRYVUQQfsumpQzVFetjl83,46,2.75,"[104.0,0.0,78.0,80.0,103.0,67.0]","[27.0,0.0,39.0,9.0,17.0,15.0]",46,True,True,0,1.30.1,2022-09-16 23:11:28
ieeTAc5qQEWzRa3BMY2wDm6xVdL2,74,1.7333333492279053,"[115.0,139.0,0.0,142.0,0.0,0.0]","[30.0,31.0,0.0,15.0,0.0,0.0]",38,True,True,1,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,134,1.7999999523162842,"[46.0,37.0,52.0,49.0,61.0,57.0]","[3.0,8.0,9.0,3.0,4.0,0.0]",42,True,True,0,1.30.1,2022-09-16 23:11:28
zC8S0Mo7cfVMf5idVrlLZJIzs0p2,35,3.033333301544189,"[138.0,115.0,0.0,0.0,0.0,98.0]","[41.0,38.0,0.0,0.0,0.0,30.0]",48,False,False,3,1.30.1,2022-09-16 23:11:28
BFZnxq6FPQVeLDg2ExBLQ3FafYM2,12,0.8666666746139526,"[0.0,0.0,50.0,0.0,65.0,41.0]","[0.0,0.0,24.0,0.0,25.0,6.0]",12,True,True,0,1.30.1,2022-09-16 23:11:28
oLfCqcjMzATy800AI8Hg26UWXu72,17,0.699999988079071,"[0.0,0.0,55.0,29.0,34.0,44.0]","[0.0,0.0,12.0,22.0,7.0,1.0]",19,True,True,0,1.30.1,2022-09-16 23:11:28
ieeTAc5qQEWzRa3BMY2wDm6xVdL2,75,2.0833332538604736,"[53.0,0.0,50.0,39.0,0.0,66.0]","[20.0,0.0,18.0,17.0,0.0,40.0]",30,True,True,2,1.30.1,2022-09-16 23:11:28
lLe3zsGRYVUQQfsumpQzVFetjl83,47,2.033333301544189,"[39.0,39.0,28.0,0.0,39.0,52.0]","[5.0,7.0,0.0,0.0,4.0,9.0]",40,True,True,0,1.30.1,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,135,1.7333333492279053,"[84.0,80.0,0.0,25.0,84.0,76.0]","[6.0,7.0,0.0,10.0,11.0,16.0]",44,True,True,0,1.30.1,2022-09-16 23:11:28
ieeTAc5qQEWzRa3BMY2wDm6xVdL2,76,1.6333333253860474,"[48.0,47.0,28.0,32.0,30.0,0.0]","[3.0,1.0,1.0,8.0,3.0,0.0]",35,True,True,0,1.30.1,2022-09-16 23:11:28
oLfCqcjMzATy800AI8Hg26UWXu72,18,1.3333333730697632,"[31.0,19.0,52.0,47.0,43.0,0.0]","[11.0,8.0,4.0,9.0,5.0,0.0]",34,True,True,0,1.30.1,2022-09-16 23:11:28
zC8S0Mo7cfVMf5idVrlLZJIzs0p2,35,2.616666555404663,"[85.0,68.0,0.0,0.0,0.0,69.0]","[16.0,18.0,0.0,0.0,0.0,13.0]",48,False,False,0,1.30.1,2022-09-16 23:11:28
I0EEBTiguxagMP2tDlWbLtTlhxE2,1501,2.25,"[18.0,35.0,37.0,11.0,33.0,31.0]","[10.0,11.0,13.0,0.0,13.0,19.0]",24,True,True,3,invalid,2022-09-16 23:11:28
p9vSLbPLlfcPLPpeMh0g8VW4uo83,136,1.5666667222976685,"[46.0,23.0,57.0,19.0,18.0,43.0]","[3.0,3.0,6.0,3.0,0.0,12.0]",45,True,True,0,1.30.1,2022-09-16 23:11:28
2G3l729HUhdoLvDJaUi7TWiScCA2,407,4.199999809265137,"[34.0,0.0,45.0,27.0,34.0,33.0]","[1.0,0.0,1.0,5.0,4.0,0.0]",44,True,True,0,1.30.1,2022-09-16 23:11:28
