uid,level,time_to_play,ball_popped,ball_drop,shot,is_win,is_first_time_win,powerball,time_get_info
qclNo0zHGUZoBofULJlV3D2sdOJ3,161,1.5,"[49.0,31.0,0.0,36.0,55.0,26.0]","[8.0,2.0,0.0,2.0,6.0,0.0]",28,true,true,0,2022-09-19 10:47:10
F5K6xl1uATTrLe6KbZEAUp4XTDV2,2,0.5166666507720947,"[10.0,17.0,20.0,0.0,17.0,12.0]","[6.0,5.0,15.0,0.0,13.0,12.0]",6,true,false,1,2022-09-19 10:47:20
rMwpFeaFE7hFBpBOl9j0MbadSry2,6,0.75,"[32.0,0.0,29.0,40.0,25.0,43.0]","[0.0,0.0,1.0,13.0,0.0,13.0]",16,true,false,0,2022-09-19 10:47:46
d19OuyDi7GebHIZMuUP2CnyY6Tm1,24,1.9333332777023316,"[16.0,31.0,34.0,29.0,59.0,0.0]","[5.0,6.0,1.0,1.0,2.0,0.0]",30,true,true,3,2022-09-19 10:48:05
3o6rIiI6PiZZAHmZ1hUQLdMoUo53,1154,4.900000095367432,"[33.0,0.0,38.0,45.0,42.0,30.0]","[2.0,0.0,2.0,11.0,4.0,8.0]",55,true,true,2,2022-09-19 10:48:07
F5K6xl1uATTrLe6KbZEAUp4XTDV2,3,0.8166666626930237,"[0.0,39.0,25.0,0.0,46.0,0.0]","[0.0,25.0,4.0,0.0,14.0,0.0]",8,true,false,1,2022-09-19 10:48:21
SFZUNHK2BDTFK3aVgaxLrospHnu2,910,2.6666667461395265,"[52.0,19.0,49.0,30.0,43.0,44.0]","[9.0,3.0,8.0,8.0,7.0,9.0]",47,true,true,2,2022-09-19 10:48:23
F5K6xl1uATTrLe6KbZEAUp4XTDV2,4,0.5666666626930237,"[70.0,0.0,0.0,0.0,89.0,0.0]","[6.0,0.0,0.0,0.0,17.0,0.0]",11,true,false,0,2022-09-19 10:49:06
UAqadNezIRVFjNcnCugoeE8jAvp1,2606,3.133333444595337,"[50.0,25.0,43.0,0.0,36.0,30.0]","[9.0,19.0,10.0,0.0,8.0,1.0]",24,true,true,0,2022-09-19 10:49:33
XtYUiyPeB0T9UsgZ9EOPYMAFqxg2,2332,2.5833332538604738,"[42.0,0.0,27.0,41.0,35.0,31.0]","[4.0,0.0,8.0,6.0,6.0,5.0]",40,true,true,0,2022-09-19 10:49:34
qclNo0zHGUZoBofULJlV3D2sdOJ3,162,2.2666666507720949,"[59.0,0.0,0.0,46.0,68.0,53.0]","[18.0,0.0,0.0,7.0,15.0,17.0]",43,true,true,0,2022-09-19 10:49:35
3o6rIiI6PiZZAHmZ1hUQLdMoUo53,1155,1.3166667222976685,"[16.0,45.0,27.0,33.0,0.0,52.0]","[9.0,16.0,7.0,19.0,0.0,14.0]",25,true,true,0,2022-09-19 10:49:38
rMwpFeaFE7hFBpBOl9j0MbadSry2,7,1.75,"[39.0,43.0,54.0,23.0,30.0,0.0]","[9.0,0.0,9.0,7.0,10.0,0.0]",26,true,false,3,2022-09-19 10:49:39
LEbHIBkd2jcR8Pa0i5bcmpDmAFF3,33255,1.600000023841858,"[27.0,11.0,43.0,41.0,42.0,26.0]","[5.0,2.0,25.0,8.0,12.0,11.0]",35,true,true,0,2022-09-19 10:49:48
d19OuyDi7GebHIZMuUP2CnyY6Tm1,25,1.3333333730697632,"[53.0,39.0,23.0,24.0,47.0,0.0]","[1.0,5.0,7.0,6.0,3.0,0.0]",34,true,true,3,2022-09-19 10:50:12
kfCABvBMQdMTHiFS0K6Pl8Sq3fh1,13,2.4833333492279054,"[28.0,0.0,27.0,89.0,34.0,0.0]","[19.0,0.0,6.0,11.0,14.0,0.0]",26,true,true,0,2022-09-19 10:50:17
